Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/session/report/1537d9e8-df7f-4dd2-a42c-d02c9a2eace4,1,0,2526.5428999991855,2526.5428999991855,2526.5428999991855,2526.5428999991855,5305.0,0.016690510002255004,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/session/report/162572a6-82f4-40bb-baf2-88daa405bede,1,0,267.954999988433,267.954999988433,267.954999988433,267.954999988433,1335.0,0.016690510002255004,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/session/report/1792db41-6dd1-469a-9d0c-effec8ab49ea,1,0,1183.5644999955548,1183.5644999955548,1183.5644999955548,1183.5644999955548,1335.0,0.016690510002255004,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/session/report/1899d50e-f4d8-435b-9434-a333aa14bf9f,1,0,451.9008000061149,451.9008000061149,451.9008000061149,451.9008000061149,5062.0,0.016690510002255004,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/api/session/report/19dc4336-2b3d-451c-a1fd-039e7ca4665f,1,1,255.4896999936318,255.4896999936318,255.4896999936318,255.4896999936318,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/1c5a853c-4e8b-4964-85d1-a7b31e9ff04d,1,0,468.261199988774,468.261199988774,468.261199988774,468.261199988774,5280.0,0.016690510002255004,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/session/report/1fd6532d-615c-4276-9ad6-6a1460235e72,1,0,731.8798000051174,731.8798000051174,731.8798000051174,731.8798000051174,6141.0,0.016690510002255004,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/api/session/report/20f3ff98-589f-475d-9976-67696c0e1384,1,1,255.19680000434164,255.19680000434164,255.19680000434164,255.19680000434164,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/21cd0c6e-dffb-4f6d-b4b5-a8f230d4d104,1,0,513.2770999916829,513.2770999916829,513.2770999916829,513.2770999916829,5264.0,0.016690510002255004,0.0,510,510,510,510,510,510,510,510,510,510,510
GET,/api/session/report/22df72d4-67a4-40ed-86c8-afff89731f89,1,0,276.5147000027355,276.5147000027355,276.5147000027355,276.5147000027355,4276.0,0.016690510002255004,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/session/report/23a95649-71c2-4392-91c5-f63fd1a1cb9f,1,0,102.28940000524744,102.28940000524744,102.28940000524744,102.28940000524744,6510.0,0.016690510002255004,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/session/report/25c73b58-5419-4264-82b3-1828849379af,1,0,284.2235999996774,284.2235999996774,284.2235999996774,284.2235999996774,4779.0,0.016690510002255004,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/session/report/2868a872-b8c4-4903-8797-728fdcc26611,1,1,259.30639999569394,259.30639999569394,259.30639999569394,259.30639999569394,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/28e21190-8f27-49db-a791-03d28729d1a1,1,1,260.7865000027232,260.7865000027232,260.7865000027232,260.7865000027232,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/2e41b4be-0e27-4d2a-9a8f-c376884279e2,1,0,567.8252999932738,567.8252999932738,567.8252999932738,567.8252999932738,6303.0,0.016690510002255004,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/api/session/report/30e6257a-9fb3-485b-b663-75daf8c91b0e,1,0,76.80219999747351,76.80219999747351,76.80219999747351,76.80219999747351,4103.0,0.016690510002255004,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/session/report/30f56919-8f16-4ef9-aae3-6834b2e535c1,1,0,1079.7928999963915,1079.7928999963915,1079.7928999963915,1079.7928999963915,5405.0,0.016690510002255004,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/session/report/3296c0a2-95a9-4b7d-84c9-2dd7d62c8406,1,0,824.2196000064723,824.2196000064723,824.2196000064723,824.2196000064723,6448.0,0.016690510002255004,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/api/session/report/3376e24a-81a3-4f76-8f38-f177a112df0e,1,0,57.473799999570474,57.473799999570474,57.473799999570474,57.473799999570474,5289.0,0.016690510002255004,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/session/report/337bd464-16e2-434c-bcad-3504f25fb4f5,1,0,85.67889999540057,85.67889999540057,85.67889999540057,85.67889999540057,2468.0,0.016690510002255004,0.0,86,86,86,86,86,86,86,86,86,86,86
GET,/api/session/report/3527dff2-6220-475f-b2f9-abadef575671,1,0,37.71930000220891,37.71930000220891,37.71930000220891,37.71930000220891,3732.0,0.016690510002255004,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/session/report/35440233-e99a-4673-9b52-41746d5cc563,1,0,428.0581000057282,428.0581000057282,428.0581000057282,428.0581000057282,6168.0,0.016690510002255004,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/api/session/report/364f02f4-81b5-4948-bd54-532b23339ac2,1,0,57.449100000667386,57.449100000667386,57.449100000667386,57.449100000667386,5785.0,0.016690510002255004,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/api/session/report/37a5961e-2e94-4415-b715-5bbf3f6f7ee6,1,0,2018.2594000070821,2018.2594000070821,2018.2594000070821,2018.2594000070821,6167.0,0.016690510002255004,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/api/session/report/38c46ad5-059d-43ad-976f-291373e734f2,1,0,395.6627000006847,395.6627000006847,395.6627000006847,395.6627000006847,5428.0,0.016690510002255004,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/api/session/report/3d2336c7-e7ba-42cb-bfb2-05bd2771d98f,1,0,207.07479999691714,207.07479999691714,207.07479999691714,207.07479999691714,4579.0,0.016690510002255004,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/session/report/3efaaba5-2fff-481a-8c9e-40c2b4950461,1,0,433.4337000036612,433.4337000036612,433.4337000036612,433.4337000036612,5504.0,0.016690510002255004,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/api/session/report/417ec4b5-ea65-42c8-836b-e1aa1780f285,1,0,211.5302000020165,211.5302000020165,211.5302000020165,211.5302000020165,1335.0,0.016690510002255004,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/api/session/report/41a9cc28-35f4-4acb-9805-f6357cc76b9c,1,1,256.9914999912726,256.9914999912726,256.9914999912726,256.9914999912726,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/43f31020-2364-4f9e-b362-113cb62c645f,1,0,72.2550000064075,72.2550000064075,72.2550000064075,72.2550000064075,3507.0,0.016690510002255004,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/api/session/report/44789264-d557-4379-8d47-87b52d545267,1,0,697.1009999979287,697.1009999979287,697.1009999979287,697.1009999979287,5621.0,0.016690510002255004,0.0,700,700,700,700,700,700,700,700,700,700,700
GET,/api/session/report/45d03e0b-4439-4486-9c88-d8c0a35f2f6e,1,0,20.341299998108298,20.341299998108298,20.341299998108298,20.341299998108298,1335.0,0.016690510002255004,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/api/session/report/45f5d075-9d02-4144-946b-24a57ae6671b,1,0,366.7522000032477,366.7522000032477,366.7522000032477,366.7522000032477,6662.0,0.016690510002255004,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/api/session/report/477973f6-ebcf-40ba-8ac5-5e75283a893e,1,0,1644.6720999956597,1644.6720999956597,1644.6720999956597,1644.6720999956597,5385.0,0.016690510002255004,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/session/report/47a45731-c416-4196-b5e2-fdb424e1cdc3,1,0,268.1546999956481,268.1546999956481,268.1546999956481,268.1546999956481,3809.0,0.016690510002255004,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/session/report/4b44fe57-be8e-43c0-96d4-669af7668fd7,1,1,444.809599997825,444.809599997825,444.809599997825,444.809599997825,21.0,0.016690510002255004,0.016690510002255004,440,440,440,440,440,440,440,440,440,440,440
GET,/api/session/report/4e0d8ccb-850e-44e3-9f0d-7eaef2802dfb,1,0,179.4775999878766,179.4775999878766,179.4775999878766,179.4775999878766,5797.0,0.016690510002255004,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/session/report/4e2d7016-c4b3-4d33-9f45-cf704591ce41,1,1,256.7430999915814,256.7430999915814,256.7430999915814,256.7430999915814,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/4fcf08b0-b332-49ab-834a-236d99e064a5,1,0,68.34249998792075,68.34249998792075,68.34249998792075,68.34249998792075,2068.0,0.016690510002255004,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/api/session/report/511a0cfe-e4ec-4621-a035-53519600241e,1,0,1152.0128000120167,1152.0128000120167,1152.0128000120167,1152.0128000120167,3997.0,0.016690510002255004,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/session/report/529dbd3e-5a96-4060-8290-25a675f25613,1,0,347.59060000942554,347.59060000942554,347.59060000942554,347.59060000942554,3360.0,0.016690510002255004,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/api/session/report/542bfc2d-e757-41a0-ad13-bd6aeac1f265,1,0,1475.3423999936786,1475.3423999936786,1475.3423999936786,1475.3423999936786,6297.0,0.016690510002255004,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/session/report/55065c61-0ad3-409a-8e1b-f12ebc264dc5,1,0,263.6266000044998,263.6266000044998,263.6266000044998,263.6266000044998,2068.0,0.016690510002255004,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/5789161a-50a6-4f65-94e4-7b22a4883698,1,0,1267.1403999993345,1267.1403999993345,1267.1403999993345,1267.1403999993345,5419.0,0.016690510002255004,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/session/report/57df1af9-81a4-4420-afd9-ed7c99f3ce42,1,0,261.97819999651983,261.97819999651983,261.97819999651983,261.97819999651983,5871.0,0.016690510002255004,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/59456467-0cbb-4043-9396-2177d5a21d9a,1,0,413.208099998883,413.208099998883,413.208099998883,413.208099998883,3992.0,0.016690510002255004,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/api/session/report/5a517366-1b36-4d81-a47d-a208cdf30552,1,0,51.090100008877926,51.090100008877926,51.090100008877926,51.090100008877926,1986.0,0.016690510002255004,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/api/session/report/5bd41a0d-7774-486e-ae1a-ae9a77b0cc91,1,0,170.69109999283683,170.69109999283683,170.69109999283683,170.69109999283683,3302.0,0.016690510002255004,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/session/report/5cbc8d69-6640-4887-80f4-61285d0453c3,1,0,226.97299999708775,226.97299999708775,226.97299999708775,226.97299999708775,6549.0,0.016690510002255004,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/session/report/5d78f548-4a5b-4740-b119-38206546ee31,1,0,421.4279000007082,421.4279000007082,421.4279000007082,421.4279000007082,2103.0,0.016690510002255004,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/session/report/5e18034d-7088-4350-83bf-c504572b0ecf,1,0,76.90749999892432,76.90749999892432,76.90749999892432,76.90749999892432,1335.0,0.016690510002255004,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/api/session/report/5ecf22c7-6d56-4ad2-b10e-dc2bd696ae21,1,0,312.4065000010887,312.4065000010887,312.4065000010887,312.4065000010887,5563.0,0.016690510002255004,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/api/session/report/610a015e-c69c-4b1f-aea9-f376a05c2543,1,0,96.23189999547321,96.23189999547321,96.23189999547321,96.23189999547321,4507.0,0.016690510002255004,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/api/session/report/6276d198-d9b5-482f-8235-a0ca72b7a8a3,1,0,280.1612000039313,280.1612000039313,280.1612000039313,280.1612000039313,6291.0,0.016690510002255004,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/session/report/6523579e-5924-4e73-8590-dd005b04379a,1,0,42.66310000093654,42.66310000093654,42.66310000093654,42.66310000093654,5084.0,0.016690510002255004,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/api/session/report/65e3a9a2-31fc-46c6-9328-8049a8d4c3e2,1,0,1060.277299999143,1060.277299999143,1060.277299999143,1060.277299999143,6326.0,0.016690510002255004,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/session/report/672e39af-e8d8-443d-add3-8fe233c28059,1,0,554.6316999971168,554.6316999971168,554.6316999971168,554.6316999971168,6546.0,0.016690510002255004,0.0,550,550,550,550,550,550,550,550,550,550,550
GET,/api/session/report/679c2a7f-7de1-4028-9bba-69d2bda9e886,1,0,244.72050000622403,244.72050000622403,244.72050000622403,244.72050000622403,5412.0,0.016690510002255004,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/session/report/69902972-6985-4603-8b91-1884a5f791bd,1,0,694.6935000014491,694.6935000014491,694.6935000014491,694.6935000014491,5369.0,0.016690510002255004,0.0,690,690,690,690,690,690,690,690,690,690,690
GET,/api/session/report/69cf8668-7130-4542-9afa-fdd52e0da389,1,0,1343.4467999904882,1343.4467999904882,1343.4467999904882,1343.4467999904882,6306.0,0.016690510002255004,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/session/report/6a9006a9-4541-4ffe-9473-dbb1796381ae,1,1,256.41479999467265,256.41479999467265,256.41479999467265,256.41479999467265,21.0,0.016690510002255004,0.016690510002255004,260,260,260,260,260,260,260,260,260,260,260
GET,/api/session/report/6d9f8f18-2406-4094-8ff8-f32d61f3da03,1,0,613.703600000008,613.703600000008,613.703600000008,613.703600000008,5428.0,0.016690510002255004,0.0,610,610,610,610,610,610,610,610,610,610,610
